JournalTitle,JournalID,Publisher,pissn,eissn,additionalIssns,doi,yearissues,language
A Novel Web-Based eMemo for Tertiary Institutions in Developing Nations From Conceptualization to Implementation,554868,Emerging Results Publishing,,,,10.61858/erc.2023.41699331725,[],en
A Nudge Too Far? A Nudge at All? On Paying People to Be Healthy,207946,Longwoods Publishing,1488917X,,,10.12927/hcpap.2012.23184,[],en
A periapical disease aggravating maxillary rhinosinusitis,392485,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z07-2016-11-CR-9,[],en
A preliminary digital public data compilation of Kimberlite Indicator Mineral Chemistry (KIMC) Slave craton and environs NWT and NU Canada,463724,Northwest Territories Geological Survey,,,,10.46887/2001-002,[],en
A Progress Report on Stratigraphic Investigations of the Lowermost Succession of Proterozoic Rocks Northern Wernecke Mountains Yukon Territory,463582,Northwest Territories Geological Survey,,,,10.46887/1978-10,[],en
A proposed worldwide classification system for ways of sourcing of anatomical cadavers that is progressive towards the use of donated anatomical cadavers,393012,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/A04-2015-6-ED-5,[],en
A prospective case report of anterior cruciate ligament reconstructions in identical adolescent female twins with open physes using single versus double hamstring grafts,420784,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100021Z14GM2021CR,[],en
A prospective study to evaluate the outcome of operative treatment of patients with intertrochanteric fracture of femur with cephalomedullary nail and dynamic hip screw device,393549,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/O03-2015-1-OA-1,[],en
A Random Forest Approach for Prediction of Dyslexia from Eye Movements,355697,Narpavi Publishers,,,,10.35625/cm960127q,[],en
A rare case of isolated lower ureteric tuberculosis mimicking a ureteric tumor,421764,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100012Z15SD2021CR,[],en
A rare case of sigmoid perforation following argon laser coagulation of gastrointestinal amyloidosis,393565,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/G01-2015-2-CR-2,[],en
A rare case of subcutaneous emphysema following routine dental care in a dental school setting,392472,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z07-2015-2-CL-2,[],en
A rare case of Type III gastric volvulus Presentation and laparoscopic management,392865,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2016-34-CR-26,[],en
A rare case report of acquired pericecal hernia complicating gastrointestinal endoscopy Multidetector computed tomography findings revisited,393594,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/R02-2018-7-CR-1,[],en
A rare cause of oropharyngeal dysphagia Multiple myeloma,393579,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/g01-2016-6-CR-2,[],en
A rare collision of atypical fibroxanthoma and basal cell carcinoma,392931,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100022Z11SW2018CR,[],en
A rare giant gynecomastia and an abnormal 46XY 15ps+ karyotype in a 15-year-old boy,393620,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/S05-2014-2-CR-2,[],en
A rare gynecology entity A case of fallopian tube torsion,393709,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/G06-2017-18-CR-4,[],en
A rare presentation of colonic malignancy Enterocutaneous fistula secondary to locally advanced cancer,392713,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100059Z12NF2019CR,[],en
A report on realistic and successful healthy male aging,393507,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/A03-2015-2-ED-2,[],en
A retrospective study of 53 cases of primary tumors of the pleura diagnosed over a 16-year period,393210,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/ejc01-2013-1-OA-1,[],en
A Review of Aphid Studies in the Philippines,555603,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A117V4I3,[],en
A Shewanella infection in burn patient from Saudi Arabia,420721,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100007Z16FA2021CR,[],en
A single-center study Predictive accuracy of Positron Emission Tomography (PET) stress testing for ischemic cardiac complications in liver transplant patients,393212,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100011C03OM2019OA,[],en
A strategic leadership theory of military effectiveness General Matthew Ridgway and the revival of the US Eighth Army in the Korean War,423005,Centre for Defence Research,,,,10.51174/AJDSS.0202/VJQG9112,[],en
A structural and lithological model for the formation of gold bearing quartz breccia at Gordon Lake NWT parts of NTS 85 I/15 85 P/3,463631,Northwest Territories Geological Survey,,,,10.46887/1989-17,[],en
A study of etiology and prognosis of oculomotor nerve paralysis,393228,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/n06-2014-1-OA-1,[],en
A survey of creativity in complex military systems,423031,Centre for Defence Research,,,,10.51174/JPS.003.7/ZGBN9644,[],en
A unique case of triple malignancy of the head and neck region managed successfully in a single surgery,392888,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100032Z11AA2020CR,[],en
A unique presentation of Ogilvie syndrome Ketamine withdrawal,392687,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100072Z12PF2020CR,[],en
Abdominal cocoon Intestinal obstruction perforation and ischemia,392851,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2016-21-CR-13,[],en
Abducens nerve palsy in patients with metastatic carcinoma,392555,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100007Z17YM2018CS,[],en
Absence of azygos vein with persistence of left vitelline vein,393020,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/A04-2016-17-CR-9,[],en
ABSTRACT OF PAPERS Oral and Poster Paper Presentations,552960,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A689V33I2,[],en
Abstracts of Entomological Papers Presented at the Seventh National Conference of the Pest Control Council of the Philippines 5-7 May 1976 Cagayan de Oro City,555065,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A93V3I4,[],en
Abstracts of Entomological Papers Presented at the Seventh National Conference of the Pest Control Council of the Philippines 5-7 May 1976 Cagayan de Oro City,555018,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A93V3I3,[],en
Academic High Altitude Conference,391329,Iowa State University,,,,10.31274/ahac,[],en
Academic International Journal of Engineering Sciences (AIJES),551203,Academic International Publishers,,29847745,,10.59675/AIJES,[],en
Academic International Journal of Medical Update (AIJMU)​,551201,Academic International Publishers,,29847761,,10.59675/AIJMU,[],en
Academic International Journal of Pure Science (AIJPS),551204,Academic International Publishers,,29847737,,10.59675/AIJPS,[],en
Academic International Journal of Veterinary Medicine (AIJVM),551202,Academic International Publishers,,29847753,,10.59675/AIJVM,[],en
Academic International Journal of Veterinary Medicine (AIJVM),496884,MESPJ Publishers,,29804531,,10.56981/MESP7000,[],en
Academic Journal of Educational Sciences,393888,Universitas Nusa Cendana,26545969,26545624,,10.35508/ajes,[],en
Academic Journal of Scientific Miracles,296355,"""Academic Journal, Al-Azhar University""",23569816,23569816,,10.19138/miracles,[],en
Academy of Management Best Papers Proceedings,117325,Academy of Management,08967911,,,10.5465/AMBPP,[],en
Accessory parotid gland tumor A rare case reports of acinic cell carcinoma,392869,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2017-38-CR-3,[],en
Accidental prank leading to pneumatic colon injury A case report,394954,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100077Z12TG2020CR,[],en
Accounting And Business Journal,556604,Universitas Pembangunan Panca Budi,27465314,27464431,,10.54248/suffix1,[],en
Acetophenones Substituted on the Aromatic Ring,229513,Georg Thieme Verlag KG,,20200064,,10.1055/sos-SD-202-00064,,en
Achieving esthetics and occlusion concepts in a limited restorative space utilizing adhesive prosthodontic approach,392497,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z07-2017-20-CR-6,[],en
ACI Concrete International,298738,American Concrete Institute,01624075,,,,,en
Acid-Catalyzed Protic Solvent Spiroketalization toward Milbemycin,229496,Georg Thieme Verlag KG,,20200498,,10.1055/sos-SD-202-00498,,en
ACM Lisp Bulletin,382717,Association for Computing Machinery,23728760,,,,,en
ACM/IMS Transactions on Data Science,379807,Association for Computing Machinery,25773224,,,,,en
Acquired non-thyrotoxic hypokalemic periodic paralysis A case report,393234,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/N06-2016-7-CR-1,[],en
Acta Biomedica Scientia,302467,Marwah Infotech,2348215X,23482168,,10.21276/abs,[],en
Acta Mathematica,316348,Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego,20843828,,,,,en
Activation of tubercular scleritis after local immune suppression,392565,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100016Z17EL2020CR,[],en
Active Measures The secret history of disinformation and political warfare | Thomas Rid,423012,Centre for Defence Research,,,,10.51174/AJDSS.0202/EXEV4202,[],en
Acute appendicitis and hemorrhagic ovarian cyst in a patient with Mayer–Rokitansky–Küster–Hauser syndrome A case report,393861,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100075Z12MP2020CR,[],en
Acute appendicular perforation A rare complication of chickenpox in an immunocompetent adult,393630,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/S05-2016-11-CR-1,[],en
Acute cholecystitis with perforated appendicitis The first reported case,392853,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2016-23-CR-15,[],en
Acute diabetic wound treatment with adipose derived stem cells,393301,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/P09-2017-4-ED-2,[],en
Acute diaphragmatic hernia post-esophagectomy,392856,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2016-26-CR-18,[],en
Acute esophageal necrosis in an end-stage renal disease patient Endoscopic images,393564,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/g01-2014-1-CL-1,[],en
Acute myeloblastic leukemia in neonate,392947,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100004Z19BM2018CR,[],en
Acute pancreatitis in a patient with COVID-19,394098,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100011G01SA2020CR,[],en
Acute Pancreatitis Predating the Diagnosis of Parathyroid Adenoma,486485,Jaypee Brothers Medical Publishing,,,,10.5005/jp-journals-10001-1534,,en
Addition of -Alkylhydroxylamines to Enones,229442,Georg Thieme Verlag KG,,20100329,,10.1055/sos-SD-201-00329,,en
Addition of Alkyl Groups in C—C Bond Formation,229662,Georg Thieme Verlag KG,,20600127,,10.1055/sos-SD-206-00127,,en
Addition of Carbon Nucleophiles to Aldehydes,229623,Georg Thieme Verlag KG,,20500335,,10.1055/sos-SD-205-00335,,en
Addition of β-Oxo Esters,229624,Georg Thieme Verlag KG,,20500343,,10.1055/sos-SD-205-00343,,en
Addition Reaction to Vinyl-1-indoles,229633,Georg Thieme Verlag KG,,20500181,,10.1055/sos-SD-205-00181,,en
Addition Reactions,229696,Georg Thieme Verlag KG,,20600542,,10.1055/sos-SD-206-00542,,en
Addition to Carbonyls,229468,Georg Thieme Verlag KG,,20200277,,10.1055/sos-SD-202-00277,,en
Addition to Oxocarbenium Ions,229635,Georg Thieme Verlag KG,,20500300,,10.1055/sos-SD-205-00300,,en
Addition to β-Carbolines,229541,Georg Thieme Verlag KG,,20200455,,10.1055/sos-SD-202-00455,,en
Additional Information on the Biology of Acrocercops cramerella Snellen (Lepidoptera Gracilariidae) in the Philippines,556252,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A199V6I3,[],en
Additional Notes on the Palawan Birdwing Trogonoptera trojana with Comments on Tagging,553266,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A40V1I6,[],en
Additional Records on the Microbiota of Philippine Insects,553265,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A39V1I6,[],en
Additions to Aldimines and Ketimines,229488,Georg Thieme Verlag KG,,20200412,,10.1055/sos-SD-202-00412,,en
Additions to Special Imines,229509,Georg Thieme Verlag KG,,20200439,,10.1055/sos-SD-202-00439,,en
Adenocarcinoma in Barrett’s esophagus cytologically diagnosed through fluid biopsy using the endogastric capsule A case report,393437,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100034Z11PM2020CR,[],en
Adenoid cystic carcinoma of breast An unusual breast malignancy,393529,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/OCY-2016-11-ED-1,[],en
Adenoid type of basal cell carcinoma presenting like a sebaceous cyst A case report,392826,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2015-3-CR-3,[],en
ADHYATMA A Journal of Management Spirituality and Human Values,428477,Eureka Publications,,25817809,,,,en
Aditum Journal of Clinical and Biomedical Research,553503,Aditum Publishing LLC,,29939968,,10.61148/2993-9968/AJCBR,[],en
Adrenal Myelolipoma A case report,393044,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z11-2016-5-CR-1,[],en
Adult intussusception due to an inflammatory fibroid polyp an uncommon cause of acute bowel obstruction,393658,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100038S05MA2019CR,[],en
Adult presentation of diffuse osteopetrosis masquerading as right hip osteoarthritis,392915,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z14-2017-7-CL-4,[],en
Adult small bowel intussusception secondary to Burkitt lymphoma,392691,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100070Z12BJ2020CR,[],en
Advanced Chemistry Insights,553772,Guinness Press,,,,10.59762/aci,[],en
Advanced Composites Letters,327882,SAGE Publications,09636935,09636935,,,,en
Advanced Devices & Instrumentation,394101,American Association for the Advancement of Science (AAAS),,,,10.34133/adi,[],en
Advanced Education and Research,397074,Intellectual Consortium of Drug Discovery and Technology Development Incorporation,,,,10.21065/AER,[],en
Advancements and Challenges in Urinary Genital Tumors,554858,Ecurater Publishing LLC,,,,10.58735/acrmsi115,[],en
Advancements in Bioequivalence & Bioavailability,344916,Crimson Publishers,,26409275,,10.31031/ABB,[],en
Advances and Applications of Bioengineering,556319,Peertechz Publications Private Limited ,,,,10.17352/aabe,[],en
Advances and Applications Statistics and Probability,556318,Peertechz Publications Private Limited ,,,,10.17352/aasp,[],en
Advances in Agriculture and Agricultural Sciences,392745,International Scholars Journals,,,,10.46882/AAAS,[],en
Advances in Antiviral Drug Design,68193,Elsevier ,,,,,,en
Advances in Applied Biomedicine,236996,Hamad bin Khalifa University Press (HBKU Press),23051604,,,,,en
Advances in Aquaculture and Fisheries Management,392746,International Scholars Journals,,,,10.46882/AAFM,[],en
Advances in Biomedical and Health Sciences,466957,Medknow Publications,27731553,,,,,en
Advances in Botanical Research,50842,Elsevier ,,,,,,en
Advances in Carbohydrate Chemistry and Biochemistry,50845,Elsevier ,,,,,,en
Advances in Cell Aging and Gerontology,50890,Elsevier ,,,,,,en
Advances in Chemical Engineering,50846,Elsevier ,,,,,,en
Advances in Computational Research,203065,Bioinfo Publications,09753273,09759085,,10.9735/0975-3273,[],en
Advances in Computer Sciences,316433,Boffin Access Limited,,,,10.31021/acs.20181110,[],en
Advances in Ecological Research,50847,Elsevier ,,,,,,en
Advances in Experimental Social Psychology,50849,Elsevier ,,,,,,en
Advances in Food and Nutrition Research,36119,Elsevier ,,,,,,en
Advances in Food Science and Technology,392747,International Scholars Journals,,,,10.46882/AFST,[],en
Advances in Genetic Engineering,556321,Peertechz Publications Private Limited ,,,,10.17352/age,[],en
Advances in Human Factors/Ergonomics,70662,Elsevier ,,,,,,en
Advances in Information Mining,203066,Bioinfo Publications,09753265,09759093,,10.9735/0975-3265,[],en
Advances in Inorganic Chemistry,50942,Elsevier ,,,,,,en
Advances in Marine Biology,50859,Elsevier ,,,,,,en
Advances in Medical Informatics,203225,Bioinfo Publications,22499466,22499474,,10.9735/2249-9466,[],en
Advances in Molecular Toxicology,70652,Elsevier ,,,,,,en
Advances in Networks,526825,Science Publishing Group,,,,10.11648/j.net,[],en
Advances in Physical Organic Chemistry,54324,Elsevier ,,,,,,en
Advances in Science and Technology,82611,"""Trans Tech Publications, Ltd.""",,,,,,en
Advances in the Study of Behavior,50872,Elsevier ,,,,,,en
Advances in Virus Research,50874,Elsevier ,,,,,,en
Advances in Wireless Communications and Networks,527009,Science Publishing Group,,,,10.11648/j.awcn,[],en
Aerial Photography Interpretation of Surficial Geology and Drift Exploration Potential for NTS 075M08 075M15 075M16 075N13 and 075N14,464016,Northwest Territories Geological Survey,,,,10.46887/2018-014,[],en
Aeromagnetic and Gamma Ray Spectrometric Survey Canol Block Sekwi Mountain Area Northwest Territories parts of 105P and 106A,463783,Northwest Territories Geological Survey,,,,10.46887/2006-05,[],en
Aeromagnetic Data Northwest Territories Canada,463937,Northwest Territories Geological Survey,,,,10.46887/2016-021,[],en
